GGDENAME,GDEKT,Summe_Flaeche,Summe_Stromertrag,Ertrag_pro_Quadratmeter
Agarn,VS,54460.09131748154,10269345,188.5664300512028
Albinen,VS,36538.61363156906,7484855,204.8478104690088
Anniviers,VS,413230.5446252851,79874626,193.29313149498623
Arbaz,VS,121730.76094622255,26768568,219.89978368594646
Ardon,VS,189481.01190823878,38804641,204.79435173584665
Ausserberg,VS,43797.658039095855,9189919,209.82672159768555
Ayent,VS,295969.2486192897,63964706,216.11943233426555
Baltschieder,VS,62853.99595323604,12825690,204.05528408317005
Bellwald,VS,83652.65395597406,17252955,206.24516000508646
Bettmeralp,VS,90641.51767842365,19545518,215.6353788044816
Binn,VS,19303.199868353724,3592647,186.11665550279562
Bister,VS,3945.4616505370254,715716,181.4023461367524
Bitsch,VS,62013.86681028396,12243988,197.43951844605084
Blatten,VS,24139.595022825983,4734048,196.1113264544648
Bourg-Saint-Pierre,VS,42250.21717365421,8496545,201.10062310633884
Bovernier,VS,55000.82463702928,9521112,173.1085317871746
Brig-Glis,VS,652802.0152328548,123643214,189.40384850971455
Bürchen,VS,111484.6468288828,22928208,205.66247148984007
Chalais,VS,272985.72498408856,53364295,195.48382979773183
Chamoson,VS,279544.65148119326,55948135,200.14024487162825
Champéry,VS,226668.92591874616,40235236,177.50662485789118
Chippis,VS,73223.11096314737,13269494,181.2200250092957
Collombey-Muraz,VS,549009.9159325536,102413356,186.54190576146456
Collonges,VS,41504.37540747929,7283596,175.48983519186896
Conthey,VS,567060.0066169178,120597269,212.67108876092988
Crans-Montana,VS,848905.3600439357,182979926,215.54808652701846
Dorénaz,VS,77998.5125352748,13948794,178.83410268486418
Eggerberg,VS,30689.11720663698,6404558,208.69150314349605
Eischoll,VS,37447.21248397329,7660607,204.57082094638142
Eisten,VS,12376.176169908384,1933649,156.23961500334025
Embd,VS,22544.59327567701,4449845,197.37969745503747
Ergisch,VS,23948.240399689257,4467369,186.54268227815047
Ernen,VS,68388.84791835764,12754598,186.50113853689118
Evionnaz,VS,93681.26306557943,16577903,176.9607118596919
Evolène,VS,247596.28799944386,48204536,194.69005932798265
Ferden,VS,20614.678020107516,3870911,187.7745068937929
Fiesch,VS,107061.46954175527,21144883,197.50226753382307
Fieschertal,VS,29929.043527858736,5922563,197.88681166797474
Finhaut,VS,50701.226508426655,9377575,184.95755715971538
Fully,VS,453634.7761756833,93765871,206.69903615080523
Gampel-Bratsch,VS,150618.77042473445,30730822,204.03049310083478
Goms,VS,163574.97514372526,32943749,201.39846557246275
Grengiols,VS,35780.52702374011,6736933,188.28490132440183
Grimisuat,VS,191326.19851010194,41463835,216.71802044303269
Grächen,VS,139765.212907849,27670080,197.9754434191263
Grône,VS,149613.02861174464,28383390,189.71202082712134
Guttet-Feschel,VS,48669.5373382096,10412808,213.9491881264523
Hérémence,VS,217626.86616525322,41076758,188.74856181041864
Icogne,VS,59813.289410602854,12397965,207.2777658973269
Inden,VS,13308.577865548168,2559528,192.32167597905664
Isérables,VS,58952.60730894967,11070274,187.7826020821204
Kippel,VS,25898.656756046545,4892615,188.9138516366384
Lalden,VS,38521.80360007226,7635439,198.2108387050101
Lax,VS,34888.8139328435,6986088,200.2386212797983
Lens,VS,376246.5536866191,80237984,213.25905370772196
Leuk,VS,378043.4194182874,75727299,200.3137605636015
Leukerbad,VS,175033.33042379338,32047819,183.09552199232758
Leytron,VS,263937.5315906208,53859925,204.0631534113883
Liddes,VS,75056.12892183507,14712439,196.01915541530025
Martigny,VS,1049857.2841344906,199960017,190.4639992709565
Martigny-Combe,VS,166457.92357349754,30174515,181.2741283335593
Massongex,VS,91039.6241299222,16755740,184.04887058944757
Mont-Noble,VS,154615.57102092227,31230852,201.99034155346425
Monthey,VS,696755.6951253483,126510404,181.5706780512794
Mörel-Filet,VS,63614.150054966434,11643856,183.0387734480302
Naters,VS,480318.81668349676,96688539,201.3007520038765
Nendaz,VS,714717.003775377,137684275,192.64166694328676
Niedergesteln,VS,67725.94283429506,13842431,204.38890062953055
Noble-Contrée,VS,250990.70104397062,52927022,210.87244180702857
Oberems,VS,20129.30327342899,3912101,194.34855478401167
Obergoms,VS,127091.07431991537,25014479,196.82325555792545
Orsières,VS,383722.6151485267,71884063,187.33340220819665
Port-Valais,VS,197909.24642142587,34582832,174.7408603959801
Randa,VS,29153.30842403299,5410779,185.59742590105276
Raron,VS,129612.53816175999,26101526,201.38118094273088
Riddes,VS,312446.59197296965,59923659,191.78848654295487
Ried-Brig,VS,132779.30106123677,26092189,196.50795561852286
Riederalp,VS,98864.5057737079,20436581,206.71302445771107
Saas-Almagell,VS,32795.37550986079,6073339,185.18888427345166
Saas-Balen,VS,25903.63678216086,4727112,182.48835249479083
Saas-Fee,VS,159423.48064561017,32502243,203.87362556868734
Saas-Grund,VS,78909.5569131749,15382908,194.94353538096775
Saillon,VS,168749.55093870507,34091314,202.02313908605893
Saint-Gingolph,VS,76594.29419706474,11999065,156.6574263237983
Saint-Léonard,VS,116912.39586220712,24393112,208.64435990816327
Saint-Martin (VS),VS,67306.31583892806,13112733,194.8217316095612
Saint-Maurice,VS,247078.4687182158,42941089,173.7953502090576
Salgesch,VS,132903.72094678297,27158571,204.34770980471478
Salvan,VS,147855.9256114567,27698919,187.33722632658376
Savièse,VS,492239.94542727945,106089118,215.52317926557419
Saxon,VS,345039.52784663317,66707027,193.33155078293132
Sembrancher,VS,69735.31773477606,13158461,188.69148987096466
Sierre,VS,881581.0095617078,180160423,204.36059879462428
Simplon,VS,40466.128177333565,7651947,189.0951110140088
Sion,VS,1610762.6229340567,328953428,204.22216366108657
St. Niklaus,VS,156331.83226637173,28137743,179.98729108513533
Stalden (VS),VS,80205.11507874132,14355204,178.9811533330111
Staldenried,VS,42017.13923609122,7979788,189.91745142766996
Steg-Hohtenn,VS,185243.06949247594,36899184,199.19333069299384
Termen,VS,80909.28890159502,16377151,202.41373051638755
Trient,VS,21227.409384510942,3685118,173.60187167676378
Troistorrents,VS,471542.99846010224,86498100,183.43629378969285
Turtmann-Unterems,VS,99046.11963286235,18904159,190.8621869294092
Täsch,VS,67342.38736025213,12468862,185.15622164235248
Törbel,VS,45252.73797489492,9548421,211.00206147299252
Unterbäch,VS,45324.88262618622,9302430,205.238920897405
Val de Bagnes,VS,1007616.826669048,204635949,203.08905487066932
Val-d'Illiez,VS,257717.6327680756,47004513,182.3876484318795
Varen,VS,51244.54761925523,10543293,205.74467899172825
Vernayaz,VS,103979.56290399836,18420102,177.15117745788953
Vex,VS,188620.69500747058,37736847,200.06737329912488
Veysonnaz,VS,60777.948702068665,11750618,193.33686396033386
Vionnaz,VS,181539.81489447146,32504236,179.0474228416208
Visp,VS,411044.78887525765,77270937,187.98666007039418
Visperterminen,VS,86886.5915808798,17097993,196.7851735107373
Vouvry,VS,243786.24873370273,44002235,180.49514781313758
Vérossaz,VS,46094.06345395243,8375266,181.6994504805769
Vétroz,VS,310659.7696711932,65075101,209.47385967895497
Wiler (Lötschen),VS,57721.7628863248,11800007,204.42908202991853
Zeneggen,VS,32443.63996916032,6605001,203.58384590257015
Zermatt,VS,383320.1143163499,76036457,198.36281520371233
Zwischbergen,VS,11167.439085113137,1528535,136.8742635039423
